estu_genero,fami_educacionpadre,fami_educacionmadre,fami_estratovivienda,fami_tieneinternet,fami_tienecomputador,fami_tieneautomovil,edad,pago_promedio,estu_economia,distancia,presencial,punt_global,Region Amazonica,Region Andina,Region Caribe,Region Orinoquia,Region Pacifica
0,0.0,11.0,2,1,1,1,25,500.0,1,0,1,137,0,0,1,0,0
1,8.0,0.0,1,1,1,0,22,3250.0,1,0,1,186,0,1,0,0,0
0,15.0,15.0,2,1,1,1,21,500.0,1,0,1,145,0,0,0,0,1
0,13.0,11.0,3,1,1,0,57,1750.0,1,0,1,121,0,1,0,0,0
1,14.0,11.0,5,1,1,1,22,4750.0,1,0,1,193,0,1,0,0,0
0,11.0,11.0,3,1,1,1,21,6250.0,0,0,1,153,0,1,0,0,0
1,5.0,5.0,3,1,1,0,27,1750.0,1,1,0,154,0,1,0,0,0
1,11.0,15.0,4,1,1,1,20,7000.0,1,0,1,211,0,1,0,0,0
1,13.0,11.0,2,1,1,0,30,1750.0,1,0,1,140,0,0,0,0,1
0,11.0,17.0,2,1,1,0,21,500.0,0,0,1,173,0,1,0,0,0
1,15.0,11.0,2,1,0,0,20,1750.0,1,0,1,115,0,0,1,0,0
0,13.0,0.0,2,1,1,0,22,6250.0,0,0,1,140,0,1,0,0,0
0,3.0,5.0,1,1,0,0,24,1750.0,1,0,1,116,0,0,1,0,0
1,0.0,3.0,2,1,1,0,32,1750.0,1,1,0,214,0,1,0,0,0
